code,name,city,state
2,DIVINO PROPRIETARIO - 2,,
3,ANTONIO PROPRIETARIO - 3,,
4,CONSYS CONSULTORIA - 4,FRUTAL,MG
5,DESC TITULO - 5,,
6,COPASA - 6,,
7,CEMIG - 7,,
8,CTBC - 8,,
9,AUTO MECANICA AGRO DIESEL LIMITADA - 9,FRUTAL,MG
10,RM COMERCIO DE MOLAS - 10,UBERLANDIA,MG
11,ZM DISTRIBUIDORA AUTOMOTIVA LTDA - 11,FRUTAL,MG
12,CONSTRUACO COMERCIO DE FERRAG E PECAS AG - 12,FRUTAL,MG
13,WAGUINHO - 13,,
14,DIOGO JOSE - 14,,
15,GREGORY OLIVEIRA CASTRO SOUZA - 15,FRUTAL,MG
16,MANCHINHA MEC TERCEIRO - 16,,
17,MATUSALEM SOLDAPAR - 17,,
18,AUTO PEÇAS PEDROSO - 18,,
19,JOELINHO FERRAMENTAS HIDRAULICAS - 19,,
20,ARJ TRANSPORTES - 20,,
21,PALACIO PARAFUSO - 21,,
22,SOLDAPAR - 22,,
23,ALGAR - 23,,
24,ALUGUEL OFICINA - 24,,
25,. - 25,,
26,AQUARELA - 26,,
27,ARJ TRANSPORTES - 27,,
28,UNIBORRACHAS - 28,,
29,AB TINTAS - 29,,
30,CAETANO - 30,,
31,POSTO DE MOLAS FRUTALENSE - 31,,
33,IDEAL CONTABILIDADE - 33,,
34,MOACIR MOLA - 34,,
35,REDE CARTAO - 35,,
36,ITAU BANCO - 36,,
37,COMBUSTIVEL - 37,,
38,CAF-COMERCIAL CAF - 38,,
39,FERRARI GESTAO - 39,,
40,DAC COMERCIAL GRACHA - 40,,
41,CASA DAS EMPRESSORAS - 41,,
42,SIMPLES NACIONAL - 42,,
43,HIDROALVES - 43,,
44,MEGA FERRAMENTAS - 44,,
45,CARRETAO - 45,,
46,MOLAS BRASILEIRAS - 46,,
47,RENILDO TORNEIRO - 47,,
48,BENICIO ALVES BARBOSA LTDA - 48,,
49,HDI SEGUROS - 49,,
50,CARRO OFICINA - 50,,
51,CET TRANSPORTES - 51,,
52,ENGEMOM MONSTAGENS - 52,,
53,DAVI - 53,,
54,SUPERMERCADO LANCHE OFICINA - 54,,
55,CONECÇÃO ENTREGAS - 55,,
56,LANCHE OFICINA - 56,,
57,INVESTIMENTO OFICINA - 57,,
58,FELIX OFICINA - 58,,
59,ALVES BARBOSA PET - 59,,
60,UAI MATERIAS P/ CONSTRU. - 60,,
61,TELMA SISTEMA - 61,,
62,MINAS FREIOS - 62,,
63,CONTA CERTA - 63,,
64,FACCHINI - 64,,
65,MERCADO - 65,,
66,OFICINA LAZAO - 66,,
67,LOJA MECANICO - 67,,
68,ESTOPA - 68,,
69,MONTE CARLO FORRO E AÇO - 69,,
70,TITO ACESSORIOS - 70,,
71,ELTON GONCALVES SICOOB - 71,,
72,NET OFICINA - 72,,
73,CARDÃ NET - 73,,
74,POSTO DE MOLAS E MECANICA JAO - 74,,
75,ANDRESSA - 75,FRUTAL,MG
76,LUIZ FERNANDO VALVU - 76,,
77,CRISLAN MECANICO - 77,,
78,SUGI YAMA COMERCIO - 78,,
79,UBERLANDIA FRETES - 79,,
80,LOGO TIPO - 80,,
81,AGRO DIESEL - 81,,
82,MARAJO - 82,,
83,TAXA BOLETOS ATRASADOS - 83,,
84,ACERTO NOTAS - 84,,
85,MIRIA - 85,,
86,TORNEADORA UNIVERSAL - 86,,
87,ELTON CONÇALVES SMALL - 87,,
88,POSTO DE MOLAS JAO - 88,,
89,BALANÇAS - 89,,
90,PLANO AUSTA - 90,,
91,BORRACHARIA JAÓ - 91,,
92,FRETE PEÇAS - 92,,
93,NOMA PEÇAS - 93,,
94,PNEUMATICA 3/4 - 94,,
95,MAURO BILAC - 95,,
97,RANDON RP - 97,,
98,ECOPARTS DISTRI. PEÇAS - 98,,
